        Valores de x            Valores del Polinomio   Valores de la Derivada
-1.000000000000000000e+01   -8.560000000000000000e+02   2.760000000000000000e+02
-9.900000000000000355e+00   -8.286890000000001919e+02   2.702300000000000182e+02
-9.800000000000000711e+00   -8.019520000000001119e+02   2.645200000000000387e+02
-9.700000000000001066e+00   -7.757830000000002428e+02   2.588700000000000614e+02
-9.600000000000001421e+00   -7.501760000000003856e+02   2.532800000000000864e+02
-9.500000000000001776e+00   -7.251250000000004547e+02   2.477500000000001137e+02
-9.400000000000002132e+00   -7.006240000000004784e+02   2.422800000000001148e+02
-9.300000000000002487e+00   -6.766670000000005984e+02   2.368700000000001182e+02
-9.200000000000002842e+00   -6.532480000000007294e+02   2.315200000000001523e+02
-9.100000000000003197e+00   -6.303610000000006721e+02   2.262300000000001887e+02
-9.000000000000003553e+00   -6.080000000000007958e+02   2.210000000000001990e+02
-8.900000000000003908e+00   -5.861590000000007876e+02   2.158300000000001830e+02
-8.800000000000004263e+00   -5.648320000000009031e+02   2.107200000000002262e+02
-8.700000000000004619e+00   -5.440130000000009431e+02   2.056700000000002433e+02
-8.600000000000004974e+00   -5.236960000000010496e+02   2.006800000000002342e+02
-8.500000000000005329e+00   -5.038750000000010232e+02   1.957500000000002558e+02
-8.400000000000005684e+00   -4.845440000000010627e+02   1.908800000000002797e+02
-8.300000000000006040e+00   -4.656970000000011396e+02   1.860700000000003058e+02
-8.200000000000006395e+00   -4.473280000000011682e+02   1.813200000000003058e+02
-8.100000000000006750e+00   -4.294310000000012337e+02   1.766300000000003081e+02
-8.000000000000007105e+00   -4.120000000000012506e+02   1.720000000000003411e+02
-7.900000000000007461e+00   -3.950290000000012469e+02   1.674300000000003479e+02
-7.800000000000007816e+00   -3.785120000000012510e+02   1.629200000000003570e+02
-7.700000000000008171e+00   -3.624430000000012910e+02   1.584700000000003399e+02
-7.600000000000008527e+00   -3.468160000000013383e+02   1.540800000000003820e+02
-7.500000000000008882e+00   -3.316250000000013642e+02   1.497500000000003979e+02
-7.400000000000009237e+00   -3.168640000000013401e+02   1.454800000000003877e+02
-7.300000000000009592e+00   -3.025270000000013511e+02   1.412700000000003797e+02
-7.200000000000009948e+00   -2.886080000000013683e+02   1.371200000000004025e+02
-7.100000000000010303e+00   -2.751010000000013633e+02   1.330300000000004275e+02
-7.000000000000010658e+00   -2.620000000000014211e+02   1.290000000000004263e+02
-6.900000000000011013e+00   -2.492990000000013993e+02   1.250300000000004275e+02
-6.800000000000011369e+00   -2.369920000000013545e+02   1.211200000000004451e+02
-6.700000000000011724e+00   -2.250730000000013717e+02   1.172700000000004650e+02
-6.600000000000012079e+00   -2.135360000000013940e+02   1.134800000000004587e+02
-6.500000000000012434e+00   -2.023750000000013642e+02   1.097500000000004547e+02
-6.400000000000012790e+00   -1.915840000000013674e+02   1.060800000000004673e+02
-6.300000000000013145e+00   -1.811570000000013181e+02   1.024700000000004820e+02
-6.200000000000013500e+00   -1.710880000000013297e+02   9.892000000000047066e+01
-6.100000000000013856e+00   -1.613710000000013167e+02   9.543000000000046157e+01
-6.000000000000014211e+00   -1.520000000000013074e+02   9.200000000000048317e+01
-5.900000000000014566e+00   -1.429690000000012731e+02   8.863000000000049283e+01
-5.800000000000014921e+00   -1.342720000000012703e+02   8.532000000000049056e+01
-5.700000000000015277e+00   -1.259030000000012421e+02   8.207000000000047635e+01
-5.600000000000015632e+00   -1.178560000000012309e+02   7.888000000000049283e+01
-5.500000000000015987e+00   -1.101250000000012079e+02   7.575000000000051159e+01
-5.400000000000016342e+00   -1.027040000000012014e+02   7.268000000000048999e+01
-5.300000000000016698e+00   -9.558700000000115438e+01   6.967000000000049909e+01
-5.200000000000017053e+00   -8.876800000000113755e+01   6.672000000000049624e+01
-5.100000000000017408e+00   -8.224100000000110811e+01   6.383000000000049567e+01
-5.000000000000017764e+00   -7.600000000000108002e+01   6.100000000000049738e+01
-4.900000000000018119e+00   -7.003900000000105308e+01   5.823000000000049425e+01
-4.800000000000018474e+00   -6.435200000000102705e+01   5.552000000000049340e+01
-4.700000000000018829e+00   -5.893300000000098748e+01   5.287000000000049482e+01
-4.600000000000019185e+00   -5.377600000000096969e+01   5.028000000000049141e+01
-4.500000000000019540e+00   -4.887500000000093081e+01   4.775000000000049027e+01
-4.400000000000019895e+00   -4.422400000000089904e+01   4.528000000000048431e+01
-4.300000000000020250e+00   -3.981700000000086703e+01   4.287000000000048061e+01
-4.200000000000020606e+00   -3.564800000000083458e+01   4.052000000000047919e+01
-4.100000000000020961e+00   -3.171100000000079433e+01   3.823000000000047294e+01
-4.000000000000021316e+00   -2.800000000000076739e+01   3.600000000000046896e+01
-3.900000000000021672e+00   -2.450900000000073575e+01   3.383000000000046725e+01
-3.800000000000022027e+00   -2.123200000000070276e+01   3.172000000000046072e+01
-3.700000000000022382e+00   -1.816300000000066817e+01   2.967000000000044935e+01
-3.600000000000022737e+00   -1.529600000000063176e+01   2.768000000000044736e+01
-3.500000000000023093e+00   -1.262500000000059330e+01   2.575000000000044054e+01
-3.400000000000023448e+00   -1.014400000000055790e+01   2.388000000000043244e+01
-3.300000000000023803e+00   -7.847000000000525333e+00   2.207000000000042306e+01
-3.200000000000024158e+00   -5.728000000000491809e+00   2.032000000000041595e+01
-3.100000000000024514e+00   -3.781000000000457106e+00   1.863000000000040757e+01
-3.000000000000024869e+00   -2.000000000000422773e+00   1.700000000000039790e+01
-2.900000000000025224e+00   -3.790000000003903580e-01   1.543000000000038696e+01
-2.800000000000025580e+00   1.087999999999644807e+00   1.392000000000037829e+01
-2.700000000000025935e+00   2.406999999999675843e+00   1.247000000000036835e+01
-2.600000000000026290e+00   3.583999999999709196e+00   1.108000000000035712e+01
-2.500000000000026645e+00   4.624999999999740652e+00   9.750000000000346390e+00
-2.400000000000027001e+00   5.535999999999771326e+00   8.480000000000334381e+00
-2.300000000000027356e+00   6.322999999999801446e+00   7.270000000000322871e+00
-2.200000000000027711e+00   6.991999999999830351e+00   6.120000000000310081e+00
-2.100000000000028066e+00   7.548999999999859156e+00   5.030000000000297788e+00
-2.000000000000028422e+00   7.999999999999886313e+00   4.000000000000284217e+00
-1.900000000000028777e+00   8.350999999999912049e+00   3.030000000000270255e+00
-1.800000000000029132e+00   8.607999999999938368e+00   2.120000000000256790e+00
-1.700000000000029488e+00   8.776999999999961943e+00   1.270000000000242046e+00
-1.600000000000029843e+00   8.863999999999986557e+00   4.800000000002269118e-01
-1.500000000000030198e+00   8.875000000000007105e+00   -2.499999999997886135e-01
-1.400000000000030553e+00   8.816000000000027370e+00   -9.199999999998045297e-01
-1.300000000000030909e+00   8.693000000000047578e+00   -1.529999999999820837e+00
